# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466380.bam" "SRR24466381.bam" "SRR24466382.bam" "SRR24466389.bam" "SRR24466390.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466380.bam	SRR24466381.bam	SRR24466382.bam	SRR24466389.bam	SRR24466390.bam	SRR24466391.bam
YBL088C	II	51019	59382	-	8364	947	1803	2262	3798	3046	1770
YBL064C	II	100371	101156	-	786	2202	4633	3908	10378	8237	4512
YBL007C	II	212632	216366	-	3735	5550	7135	4337	13105	9603	6798
tL(UAA)B2	II	347603	347686	+	84	9	10	4	9	11	6
YBL093C	II	44256	44918	-	663	1066	1332	993	2976	1082	1288
YBL091C	II	47363	48628	-	1266	2644	4303	2065	12446	4631	5736
YBR142W	II	528317	530638	+	2322	310	453	298	1206	342	897
YBR047W	II	331833	332360	+	528	367	819	713	2324	2138	1718
YBR238C	II	695107	697302	-	2196	343	638	143	1071	440	823
YBR067C	II	372103	372735	-	633	3786	6646	4227	54624	16141	12531
YBR010W	II	256331	256741	+	411	15643	18417	18354	36382	15204	25694
YBL054W	II	117589	119166	+	1578	152	160	132	457	73	444
YBR209W	II	642583	642900	+	318	0	0	1	1	1	0
YBL060W	II	107932	109995	+	2064	400	621	432	1340	808	684
YBR089W	II	425183	425782	+	600	0	6	4	26	17	8
YBR025C	II	290681	291865	-	1185	8996	14408	6582	46419	12343	19427
YBR040W	II	316968	317864	+	897	8	14	12	68	81	35
YBR230C	II;II	679549;680040	679942;680050	-;-	405	2855	3995	4457	9614	6928	6817
YBL027W	II;II	168423;168809	168424;169376	+;+	570	24236	28525	15535	86029	26465	47449
YBL100C	II	36989	37303	-	315	0	0	0	2	0	0
YBR261C	II	734832	735530	-	699	586	958	281	2239	918	1338
YBR034C	II	304930	305976	-	1047	322	631	286	1143	371	628
YBR101C	II	443821	444693	-	873	29597	30340	19905	128280	16469	20703
YBL010C	II	206107	206949	-	843	415	608	379	1490	567	772
YBR053C	II	339675	340751	-	1077	2737	4873	3699	12236	5016	4464
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	6544	10086	13280	11814	11184	6179
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	2106	3568	2788	3852	6272	2342
YBL042C	II	138341	140260	-	1920	474	385	284	1864	274	1035
YBL039C	II	143989	145728	-	1740	383	442	276	1665	290	1268
YBR217W	II	657832	658392	+	561	1335	1751	2037	2826	1594	1230
YBR200W-A	II	622983	623147	+	165	0	2	0	0	0	0
YBL003C	II	235394	235792	-	399	34741	38213	35160	68102	27535	38282
YBR069C	II	376574	378433	-	1860	1034	1399	723	4402	2114	3859
YBR056W-A	II	351255	351455	+	201	12443	8455	6377	3154	1082	994
YBR009C	II	255373	255684	-	312	14471	14893	13278	42018	14258	25939
YBL038W	II	146187	146885	+	699	1172	1882	1826	4131	1929	2025
YBR056C-B	II	351293	351451	-	159	5	11	16	43	33	19
YBR081C	II	401253	405251	-	3999	777	1388	878	4203	1731	1992
YBR007C	II	248806	251016	-	2211	1222	1843	961	2770	1877	1327
YBR146W	II	535260	536096	+	837	968	1391	1043	3630	1695	1906
YBR171W	II	578364	578984	+	621	3120	3789	2288	6436	3829	3519
YBL028C	II	167518	167838	-	321	6296	5421	4302	5491	2729	5998
YBR135W	II	504854	505306	+	453	879	890	416	2496	761	1101
YBR264C	II	737770	738369	-	600	431	630	489	1893	904	954
YBR043C	II	321876	323945	-	2070	1699	2429	1472	5593	3498	3005
YBL059W	II;II	110594;110949	110879;111244	+;+	582	289	378	341	980	663	528
YBR131W	II	497163	499277	+	2115	336	484	260	1002	581	544
YBR233W-A	II	684977	685261	+	285	10693	11213	8719	9308	10285	7120
YBR092C	II	427698	429101	-	1404	622	670	285	2424	1562	1796
YBR126C	II	488905	490392	-	1488	11543	17070	13465	65812	19416	25782
YBR057C	II	352193	353293	-	1101	1737	2790	2093	6907	3489	3078
YBR086C	II	420201	423041	-	2841	15982	18196	7551	15617	12517	8995
YBR174C	II	582338	582652	-	315	1	5	1	11	10	9
snR56	II	88190	88277	+	88	102	116	121	218	180	312
YBR281C	II	764970	767606	-	2637	709	1055	659	2882	921	1200
YBL103C	II	22076	23536	-	1461	925	1185	734	3785	1782	2391
tG(GCC)B	II	197629	197699	-	71	4	10	0	2	2	0
YBR159W	II	558685	559728	+	1044	14022	17647	11023	18060	15622	12409
YBR118W	II	477671	479047	+	1377	30719	42695	23598	148217	35273	62552
YBL004W	II	227636	235117	+	7482	624	840	644	2416	681	1523
YBR163W	II	565723	567480	+	1758	1161	1385	802	2569	1899	1730
YBL013W	II	202056	203261	+	1206	60	62	55	205	94	111
YBL112C	II	2582	2899	-	318	2	0	0	5	0	0
YBR231C	II	682179	683090	-	912	476	846	581	1416	977	697
YBL066C	II	96669	100115	-	3447	431	667	468	1596	1017	843
YBR008C	II	252563	254209	-	1647	678	921	421	1864	1007	937
YBL015W	II	194122	195702	+	1581	840	1134	1511	5195	1820	2130
YBR038W	II	311898	314789	+	2892	1122	1227	916	4620	1760	1984
YBL018C	II;II	185998;186428	186352;186474	-;-	402	9987	11483	8055	8064	8802	7879
YBR253W	II	723270	723635	+	366	3272	4323	5124	7838	4039	3265
YBL068W-A	II	91794	92030	+	237	0	0	0	0	0	0
YBR058C	II	353672	356017	-	2346	1126	1906	1303	3867	1950	1924
YBL084C	II	67169	69445	-	2277	926	1257	1078	2669	1664	1592
YBR224W	II	670125	670640	+	516	6	7	12	37	22	26
YBR077C	II	391805	392293	-	489	1972	2815	2182	5355	3024	2541
YBL087C	II;II	59822;60698	60193;60739	-;-	414	8570	8295	4177	23959	7715	13670
YBR098W	II	441515	443590	+	2076	354	534	324	1444	591	713
YBR239C	II	698354	699943	-	1590	249	366	218	674	435	432
YBR168W	II	572371	573612	+	1242	1033	1311	954	2066	1653	1140
YBL046W	II	132424	133749	+	1326	530	718	565	2377	904	1156
YBR003W	II	242809	244230	+	1422	1124	1441	1158	4036	2173	2175
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	625	890	628	2296	1507	1283
LSR1	II	680688	681862	-	1175	399	489	606	1227	624	981
YBL025W	II	171481	171918	+	438	243	352	182	995	545	545
YBR105C	II	450881	451969	-	1089	1006	2387	1382	6379	2757	2184
YBR200W	II	620872	622527	+	1656	641	1080	696	2577	1329	1130
YBR190W	II	605966	606277	+	312	13	10	2	9	8	5
YBR248C	II	714807	716465	-	1659	2047	2433	1108	10355	2687	5660
YBR145W	II	533762	534817	+	1056	4015	7892	5246	28387	13244	20291
YBL047C	II	127895	132040	-	4146	4321	6335	4732	13071	7906	5603
YBR099C	II	442924	443307	-	384	2362	1711	875	6275	725	891
YBL014C	II	199064	201748	-	2685	513	715	400	1502	648	782
YBR062C	II;II	365976;366585	366502;366600	-;-	543	2010	3346	3396	5097	5010	2386
YBL092W	II	45978	46370	+	393	38476	49775	20611	120577	44185	77041
YBR240C	II	700490	701842	-	1353	148	205	115	359	283	199
YBR251W	II	721390	722313	+	924	756	1115	1090	2868	1752	1565
YBR199W	II	618909	620303	+	1395	8364	12045	6535	17907	11326	8195
YBR128C	II	493081	494115	-	1035	503	808	736	1922	1126	967
YBR139W	II	515664	517190	+	1527	7326	11394	8841	19327	14605	9204
YBL070C	II	90605	90925	-	321	1	2	2	6	4	4
YBR054W	II	343101	344135	+	1035	12034	34835	12941	18445	24456	9241
YBL039W-B	II	143393	143572	+	180	916	1389	1950	1408	1355	628
YBR072W	II	382030	382674	+	645	5229	19409	7946	79349	23646	5265
YBR111C	II	461178	461873	-	696	2631	5212	3064	13003	9045	7024
YBL001C	II	237153	237467	-	315	10431	15205	15275	21578	17645	11210
YBR110W	II	458872	460221	+	1350	3256	4737	2875	5405	4032	2828
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	3	1	2	25	12	5
YBL036C	II	150447	151220	-	774	2349	3600	3569	6963	2784	2653
tR(UCU)B	II	405878	405949	+	72	0	0	0	0	0	0
YBL094C	II	43765	44097	-	333	20	16	7	28	15	15
YBR033W	II	301944	304703	+	2760	212	350	332	307	538	130
YBL073W	II	87646	87957	+	312	0	0	0	0	0	0
YBR096W	II	436021	436713	+	693	9392	11497	8879	14208	9581	6764
YBL053W	II	119335	119709	+	375	11	3	4	7	8	2
YBR030W	II	298292	299950	+	1659	475	607	218	1656	477	735
YBL076C	II	81043	84261	-	3219	8101	9215	7685	33075	9389	15904
YBR256C	II	727386	728102	-	717	25273	34549	32312	42130	40195	29733
YBR162W-A	II	565231	565428	+	198	31408	31562	21774	15280	18970	12410
YBL077W	II	80897	81328	+	432	0	2	2	9	1	6
YBR156C	II	551104	553200	-	2097	565	751	402	1978	891	1015
YBL012C	II	203406	203807	-	402	0	2	0	8	0	2
YBL008W-A	II	209409	209648	+	240	0	0	1	0	0	1
YBR297W	II	800523	801929	+	1407	176	400	610	1059	1484	533
YBR189W	II;II	604508;604928	604514;605508	+;+	588	24492	27084	13251	91761	24361	50924
YBL096C	II	43174	43482	-	309	9	8	4	20	4	8
YBR011C	II	257112	257975	-	864	20085	30204	13279	103790	27347	43099
YBL041W	II	141247	141972	+	726	2985	5743	3713	12678	6298	5141
YBL081W	II	71866	72972	+	1107	200	253	76	754	295	414
YBR089C-A	II	426190	426489	-	300	1640	1896	2004	3944	2266	1647
YBR103C-A	II	449320	449463	-	144	4	2	1	1	2	1
YBR296C	II	796798	798522	-	1725	39	29	17	111	62	48
YBL040C	II;II	142112;142847	142749;142868	-;-	660	51805	53058	46171	46275	36309	25519
YBR165W	II	568852	569685	+	834	1872	2236	2255	4527	4017	2603
YBL026W	II;II	170623;170805	170676;171038	+;+	288	42915	49490	47199	40551	46069	31749
YBR082C	II;II	406628;407123	407027;407169	-;-	447	15181	23357	13496	70741	22089	19032
YBR280C	II	762784	764697	-	1914	648	893	965	2594	1397	1276
YBR061C	II	364787	365719	-	933	373	631	227	1396	534	1049
YBL016W	II	192451	193512	+	1062	429	658	307	3099	1358	1532
YBR175W	II	582408	583355	+	948	1941	2550	1760	3804	2154	1990
YBR029C	II	296369	297742	-	1374	2501	3335	1240	6071	3785	2849
YBL057C	II	112801	113427	-	627	1920	2183	1043	4794	1994	2334
YBR298C-A	II	805035	805256	-	222	5	1	0	14	0	3
YBR192W	II	607652	608785	+	1134	560	862	514	1778	942	1168
tQ(UUG)B	II	350827	350898	+	72	0	4	0	4	3	5
YBR302C	II	810340	811479	-	1140	62	74	69	126	97	63
YBR254C	II	723736	724263	-	528	1647	2072	1719	2982	1520	1833
YBR204C	II	632254	633381	-	1128	1066	1813	1137	3430	1978	1728
YBR220C	II	662995	664677	-	1683	1196	1437	583	2655	1329	1566
YBR222C	II	666720	668351	-	1632	1233	2102	1209	3654	1696	1353
YBR290W	II	782591	783556	+	966	3344	4766	4790	8207	4853	3974
YBR162C	II	563203	564570	-	1368	38354	39137	17886	48930	22947	23535
YBR167C	II	571468	571890	-	423	763	1015	824	2285	1129	1152
YBL033C	II	158656	159693	-	1038	1163	1664	1083	6569	1987	3037
YBR228W	II	675313	676227	+	915	507	798	549	1717	972	1078
YBR263W	II	736264	737736	+	1473	2355	2583	1385	9133	2187	4947
YBR250W	II	719033	720604	+	1572	137	215	156	379	211	205
YBR272C	II	746361	747803	-	1443	580	1118	829	3113	1509	1519
YBR120C	II	480435	480923	-	489	724	1108	1355	2728	1640	1508
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	17063	21077	11785	58981	19668	30738
YBL062W	II	105308	105688	+	381	12	19	13	16	29	12
YBR301W	II	809057	809419	+	363	7	6	0	30	0	3
YBR076W	II	390227	391291	+	1065	9	21	14	34	38	15
YBR210W	II	645550	645978	+	429	3281	5063	4894	5659	6315	3033
YBR106W	II	452658	453224	+	567	17827	17590	9687	26807	13985	14689
YBR005W	II	245906	246547	+	642	720	531	286	1586	859	864
YBR153W	II	547460	548194	+	735	489	685	564	1769	814	798
YBR132C	II	499652	501442	-	1791	624	1014	1394	4049	2963	3310
YBR166C	II	569842	571200	-	1359	1497	2175	1689	5093	1982	2711
YBR221W-A	II	666538	666642	+	105	0	0	0	4	7	0
YBR131C-A	II	497650	497739	-	90	0	0	0	0	0	0
YBR161W	II	561634	562764	+	1131	3642	3931	2863	5720	3677	2664
YBR109C	II	457919	458362	-	444	6131	9514	4816	19629	8672	9153
YBR255W	II	724456	726540	+	2085	552	897	597	2034	1049	1159
YBR205W	II	633622	634836	+	1215	2254	2834	1292	3993	3139	2662
YBR296C-A	II	800123	800242	-	120	0	4	2	3	14	12
YBL043W	II	136688	137461	+	774	112	207	501	1255	1191	640
YBR130C	II	495592	496869	-	1278	1510	1754	1112	5063	2184	2590
YBR206W	II	634601	634924	+	324	85	121	37	138	101	79
YBR122C	II	483970	484503	-	534	1596	2418	1933	5600	2922	2992
YBR295W	II	792849	796499	+	3651	818	1054	668	1444	792	832
YBR004C	II	244366	245667	-	1302	971	1038	489	1661	1083	1194
YBR202W	II	625772	628309	+	2538	584	919	497	3572	1377	1849
YBR001C	II	238941	241283	-	2343	935	1497	1375	4065	2255	1886
YBL113C	II	280	2658	-	2379	283	300	210	1087	524	461
YBR288C	II	778012	779463	-	1452	1374	1720	1366	3645	1785	1896
YBR282W	II	768240	768680	+	441	994	1542	1428	2964	1945	1419
YBL072C	II	88523	89125	-	603	13956	15762	7825	41407	14486	24833
YBR103W	II	447709	449316	+	1608	932	1280	841	3456	1369	1908
YBR107C	II	453793	454530	-	738	239	503	246	1054	483	487
YBL024W	II	172534	174588	+	2055	778	1162	596	3041	1320	2129
YBR012C	II	259147	259566	-	420	712	1808	983	1575	2447	552
YBR188C	II	603685	604107	-	423	495	822	519	1450	943	773
YBL075C	II	84499	86448	-	1950	704	1454	616	4146	1461	887
YBR102C	II	445062	447323	-	2262	798	1338	745	2786	1359	1604
YBR006W	II	247010	248503	+	1494	1014	1617	1244	4594	2703	1754
YBL051C	II	122753	124759	-	2007	1666	2545	1571	5648	3151	3139
YBR196C	II	612236	613900	-	1665	20360	37619	18905	93466	39243	40250
YBL031W	II	161699	162715	+	1017	609	533	263	1469	556	995
YBR141W-A	II	527167	527262	+	96	60	88	27	127	62	63
YBL006W-A	II	216711	216860	+	150	7	16	3	30	17	12
YBL100W-C	II	28427	28546	+	120	22	63	121	61	100	38
YBR236C	II	690383	691693	-	1311	1185	2092	1939	4774	2202	2303
YBR276C	II	757620	760043	-	2424	1419	1823	1053	3087	1731	1788
YBR036C	II	309081	310313	-	1233	7171	8953	5611	11930	8945	6672
YBR045C	II	328173	330092	-	1920	180	238	284	509	412	229
YBR291C	II	783673	784572	-	900	531	640	452	1284	653	630
YBR137W	II	513044	513583	+	540	1464	2752	2343	5408	2766	2202
YBR079C	II	395383	398277	-	2895	2334	3264	1482	10190	2742	5139
YBR017C	II	270947	273703	-	2757	1338	1758	1081	5015	1888	2566
YBL044W	II	135998	136366	+	369	118	163	100	104	94	74
YBL023C	II	174920	177526	-	2607	528	838	610	2460	1168	1208
YBR127C	II	491269	492822	-	1554	6478	9914	5289	31635	11501	14877
YBR152W	II	546376	547251	+	876	98	262	138	542	287	328
YBR035C	II	306269	306955	-	687	4393	6629	5577	16731	10131	9112
YBR289W	II	779667	782384	+	2718	541	691	445	2339	814	1109
YBL017C	II	186844	191583	-	4740	6635	10031	5750	12659	10408	6223
YBR157C	II	553543	554310	-	768	373	432	272	2653	820	1512
YBL104C	II	18177	21293	-	3117	534	744	494	1885	1027	941
YBL109W	II	5790	6125	+	336	6	7	0	52	24	18
tL(UAA)B1	II	9583	9666	+	84	2	2	0	6	4	0
YBR072C-A	II	382860	383021	-	162	108	170	199	80	85	121
YBR300C	II	808600	809097	-	498	0	2	0	0	0	0
YBR195C	II	610614	611882	-	1269	350	572	253	1443	916	942
YBR233W	II	683428	684669	+	1242	385	710	450	1557	810	789
YBR262C	II	735720	736040	-	321	2024	2733	2444	4442	3122	2672
YBR020W	II	279021	280607	+	1587	268	374	307	653	785	359
YBR085C-A	II	418907	419164	-	258	66871	90370	104463	111423	43193	23862
YBR123C	II	484742	486691	-	1950	693	1050	791	2720	1314	1697
YBR221C	II	665153	666253	-	1101	4510	7647	3921	23270	8816	12266
YBL029W	II	166134	167264	+	1131	1444	1994	1510	5852	2979	2664
YBL045C	II	134143	135516	-	1374	2730	4701	3669	15074	6526	6417
YBR191W-A	II	607149	607223	+	75	139	142	69	366	79	237
YBR154C	II	548362	549009	-	648	2856	3328	3014	7648	2584	4316
YBR278W	II	760294	760899	+	606	1499	2014	2135	3355	1722	1550
YBR273C	II	748061	749371	-	1311	1193	1774	1209	4316	2065	2320
YBR032W	II	301519	301821	+	303	3	3	3	6	3	2
YBR048W	II;II	332831;333387	332875;333812	+;+	471	9454	10761	5492	28298	9190	16757
YBR104W	II	449667	450656	+	990	2257	2241	1713	5578	1381	3217
YBL079W	II	75259	79767	+	4509	1244	1537	1159	4045	1648	2165
YBR265W	II	738582	739544	+	963	904	1036	539	4606	1467	2288
YBR249C	II	716882	717994	-	1113	5272	7619	4216	32529	10081	17273
YBR203W	II	629168	631942	+	2775	559	916	1666	2321	1653	1269
YBR184W	II	597363	598934	+	1572	300	290	321	962	416	581
YBR170C	II	576344	578086	-	1743	693	1258	907	2741	1478	1277
YBR173C	II	581726	582172	-	447	2365	4630	2220	9732	5532	4367
YBR133C	II	501804	504287	-	2484	1252	1702	898	4098	2021	2067
YBR275C	II	751356	757106	-	5751	1118	1487	1134	2699	1234	1445
YBL108W	II	8177	8482	+	306	2	0	0	6	4	3
YBL113W-A	II	646	1128	+	483	0	0	0	2	2	0
YBL085W	II	63876	66818	+	2943	2582	2788	1919	6432	4428	3466
YBL052C	II	119379	121874	-	2496	1335	1490	1307	3366	1866	2368
YBL009W	II	207194	209224	+	2031	649	629	432	1669	500	1030
YBR283C	II	768943	770415	-	1473	9882	11313	5545	20096	10675	10284
YBR094W	II	432036	434297	+	2262	974	1494	1211	2810	1131	1323
YBR258C	II	729734	730162	-	429	1882	2834	3368	2915	3349	1848
YBR201W	II	623576	624211	+	636	2709	3826	3229	4344	3006	2490
YBR070C	II	379221	379934	-	714	1444	1431	593	2108	772	1079
tE(UUC)B	II	645167	645238	+	72	0	2	0	0	3	0
YBR198C	II	616127	618523	-	2397	1098	1528	893	3919	1896	2268
YBL056W	II	113762	115168	+	1407	4718	6677	6425	13527	7738	8265
YBL099W	II	37053	38690	+	1638	5286	8039	6169	26532	10081	11787
YBR257W	II	728885	729724	+	840	677	1056	1410	2292	820	1251
YBR126W-A	II	490850	491056	+	207	54	106	107	54	139	68
YBR242W	II	704670	705386	+	717	751	1006	832	1973	833	1060
YBL008W	II	209653	212175	+	2523	346	499	271	1031	623	513
YBR181C	II;II	591712;592769	592416;592774	-;-	711	10375	11434	6434	30302	9879	17957
tC(GCA)B	II	643007	643078	-	72	0	0	0	0	0	1
YBR052C	II	338720	339352	-	633	4337	7714	6886	19359	10638	8070
YBR093C	II	429548	430951	-	1404	898	1133	751	2025	2373	1136
YBR049C	II	334386	336818	-	2433	1434	1992	1299	6419	1835	2604
YBR056W	II	347879	349384	+	1506	3905	5829	7017	12255	5114	4906
YBL030C	II	163041	163997	-	957	3270	4336	2904	15831	4635	7308
tT(AGU)B	II	266378	266450	+	73	24	21	26	11	36	16
YBR141C	II	527025	528038	-	1014	23	48	37	116	51	119
YBR226C	II	673155	673565	-	411	7	6	3	0	4	3
YBL005W	II	217470	220400	+	2931	543	901	570	2421	1258	1233
YBR151W	II	545028	545978	+	951	9349	14272	12759	15649	14037	9506
YBR144C	II	533235	533549	-	315	10	22	71	181	49	137
YBR178W	II	586071	586445	+	375	52	59	57	53	64	36
YBR138C	II	513762	515336	-	1575	1149	1028	1695	3646	1950	1575
YBL090W	II	48825	49358	+	534	8719	11210	13726	13006	10141	7430
YBL105C	II	14241	17696	-	3456	1573	2743	2703	6392	5408	4030
YBL102W	II	24098	24745	+	648	2440	2876	2278	6513	3320	3145
YBL011W	II	203538	205817	+	2280	2840	2824	1783	6191	3265	3114
YBR095C	II	434406	435698	-	1293	694	1136	1250	2240	1173	1229
YBR196C-B	II	614526	614630	-	105	72	180	132	341	739	228
YBL048W	II	127299	127610	+	312	103	154	123	121	145	60
YBR066C	II	370037	370699	-	663	2840	3057	2196	6706	3661	2704
YBR292C	II	784702	785073	-	372	24	20	13	45	42	27
YBR018C	II	274427	275527	-	1101	23	49	23	296	123	129
YBR194W	II	610038	610409	+	372	725	931	1082	1481	1485	879
YBR076C-A	II	391351	391617	-	267	778	1048	796	1175	804	666
YBR108W	II	454822	457665	+	2844	844	1254	929	2600	1436	1251
YBR046C	II	330507	331511	-	1005	569	992	1048	2837	2237	1730
YBR235W	II	686901	690263	+	3363	1531	2170	1225	3277	2241	1764
YBR274W	II	749594	751177	+	1584	632	1014	789	1893	1075	1134
YBL006C	II	216587	217129	-	543	8267	10819	8201	10737	7773	5918
YBR186W	II;II	600553;602217	602103;602360	+;+	1695	3	30	27	39	111	28
YBR277C	II	760215	760616	-	402	7	0	0	5	3	4
YBR185C	II	599123	599959	-	837	633	981	829	2907	1287	1731
YBL078C	II	80378	80731	-	354	1111	2128	2361	3599	3166	1861
YBR037C	II	310565	311452	-	888	716	930	759	3304	1260	1523
YBR015C	II	267710	269503	-	1794	5565	5541	2436	9646	4896	5769
YBR016W	II	270247	270633	+	387	2422	2772	1267	7065	2921	3946
YBL107W-A	II	9268	9372	+	105	0	2	1	10	10	1
YBL071W-A	II	89978	90226	+	249	209	286	103	654	222	418
YBR269C	II	742160	742576	-	417	1195	2090	1464	3786	2518	2244
YBR266C	II	739936	740388	-	453	0	0	0	0	0	0
YBR055C	II	344602	347301	-	2700	783	1242	664	2997	1461	1689
YBR088C	II	424990	425766	-	777	1133	1370	736	3060	642	1737
tV(UAC)B	II	326792	326865	-	74	2	0	0	2	0	2
YBL019W	II	184353	185915	+	1563	543	1092	867	1791	1297	967
YBR112C	II	462870	465770	-	2901	2286	2755	2176	8545	3406	4679
YBR164C	II	567875	568426	-	552	8359	9419	9675	13199	8361	6384
YBR148W	II	537876	539705	+	1830	234	246	144	405	336	198
YBL020W	II	182401	184125	+	1725	1545	2083	915	2366	1856	1526
YBR208C	II	636703	642210	-	5508	1373	1212	830	7001	1472	1680
tD(GUC)B	II	405960	406031	+	72	0	1	0	0	2	0
YBR172C	II	579150	581372	-	2223	1141	1677	757	3586	1352	2019
YBL097W	II	40831	43095	+	2265	216	333	352	1073	470	682
YBR050C	II	337183	338199	-	1017	54	272	287	221	329	99
YBR183W	II	596115	597065	+	951	2936	5225	5803	7182	4200	3034
YBR213W	II	650368	651192	+	825	155	223	100	885	114	244
YBR113W	II	465566	466048	+	483	0	2	2	5	0	0
YBL091C-A	II;II	46565;47147	47058;47180	-;-	528	881	1567	1040	2979	2855	1471
YBR196C-A	II	614024	614173	-	150	60	149	75	221	539	171
YBR286W	II	774700	776313	+	1614	22050	31374	16111	52286	28888	26751
YBR268W	II	741299	741616	+	318	1744	2315	2021	3474	2456	2104
YBR058C-A	II	356324	356566	-	243	38697	48016	36893	31155	38642	23859
YBR287W	II	776571	777854	+	1284	7990	8037	4913	10853	7447	5711
YBL083C	II	69713	70138	-	426	2	0	0	1	0	0
YBL061C	II	105316	107406	-	2091	1052	1510	1006	3037	1622	1566
YBR267W	II	739841	741022	+	1182	140	242	82	520	157	383
YBR114W	II	467248	469620	+	2373	949	1266	770	3389	1497	1432
YBL032W	II	160184	161329	+	1146	2203	2825	1828	8315	3187	4242
YBR219C	II;II	662499;663003	662581;663303	-;-	384	3	4	1	9	1	3
tF(GAA)B	II;II	36398;36453	36434;36488	+;+	73	0	0	0	0	0	0
YBR299W	II	805351	807105	+	1755	20	33	55	94	90	42
YBR191W	II;II	606270;606669	606280;607140	+;+	483	15599	17888	8799	49646	15548	31180
YBR125C	II	487199	488380	-	1182	900	1555	996	2565	1560	1508
YBL069W	II	90741	92030	+	1290	304	549	224	1422	491	985
YBR223C	II	668663	670297	-	1635	349	497	274	1076	677	514
YBR074W	II	386286	389216	+	2931	2026	2506	1352	4870	2447	2536
YBR201C-A	II	624493	624696	-	204	412	730	654	1245	996	597
YBR187W	II	602634	603476	+	843	4057	4632	2020	6964	3617	4514
YBL021C	II	181660	182094	-	435	344	705	350	1369	864	735
YBL049W	II	126828	127244	+	417	119	263	202	223	346	113
YBL035C	II	151493	153610	-	2118	456	470	369	1295	300	675
YBL095W	II	43277	44089	+	813	887	1130	996	2647	1426	1525
YBR073W	II	383112	385988	+	2877	1372	1596	1328	3635	1314	1727
YBR109W-A	II	458608	458832	+	225	53	66	44	58	39	41
YBR260C	II	732639	734639	-	2001	710	1221	757	2571	1319	1189
YBR279W	II	761257	762594	+	1338	2259	3148	2987	8871	3725	4161
YBR211C	II	646158	647132	-	975	1092	1571	2763	4088	1975	1615
YBR078W	II;II	393123;393511	393180;394742	+;+	1290	40807	44734	17922	66177	39626	31970
YBR063C	II	366970	368184	-	1215	721	1033	776	2088	1124	1041
YBR028C	II	294425	296002	-	1578	717	698	357	2339	1003	1395
YBL039C-A	II	144948	145031	-	84	0	0	0	0	0	0
YBR129C	II	494353	495339	-	987	2702	3765	3859	5439	4475	3268
YBL050W	II;II	125125;125271	125154;126119	+;+	879	3418	5261	4588	11310	7002	5339
YBR051W	II	337988	338338	+	351	4	1	8	19	7	5
YBR080C	II	398614	400890	-	2277	1628	2605	1696	6578	2791	3048
YBL058W	II	111437	112708	+	1272	2646	4253	2975	11622	5425	5546
YBL101C	II	24946	28299	-	3354	644	1036	705	2883	1495	1414
YBR140C	II	517350	526628	-	9279	1862	3421	6053	8706	7178	3690
YBR021W	II	281443	283344	+	1902	342	289	178	683	233	349
YBR232C	II	683373	683732	-	360	1	3	3	3	0	2
YBR024W	II	289445	290350	+	906	564	1045	709	2039	1223	1019
YBL005W-B	II	221330	226598	+	5269	306	520	339	1916	1112	671
YBL100W-A	II	29935	31251	+	1317	0	0	0	0	0	0
YBR012W-B	II	259869	265140	+	5272	61	193	37	293	211	114
YBR012W-A	II	259869	261191	+	1323	0	0	0	0	0	0
YBL005W-A	II	221330	222652	+	1323	0	0	0	0	0	0
YBL100W-B	II	29935	35248	+	5314	294	543	275	1118	746	429
YNR017W	XIV	662913	663581	+	669	1287	1483	775	4985	1663	2768
YNL105W	XIV	424155	424583	+	429	0	0	0	3	2	0
YNR069C	XIV	761123	762592	-	1470	1849	1310	871	6607	2128	2793
YNL306W	XIV	58155	58808	+	654	1110	1609	859	3812	2237	2165
YNL288W	XIV	90303	91424	+	1122	978	1228	824	3161	1467	1564
YNL191W	XIV	280432	281505	+	1074	286	393	191	1554	307	686
YNL150W	XIV	349251	349658	+	408	36	57	37	6	18	19
YNL097C	XIV	441366	442358	-	993	807	1102	904	3157	1456	1590
tN(GUU)N1	XIV	102716	102789	+	74	41	47	34	67	81	47
YNL137C	XIV	368595	370055	-	1461	984	1666	1269	4676	2220	2468
YNL331C	XIV	16118	17248	-	1131	527	733	796	1394	945	786
YNL030W	XIV	576727	577038	+	312	27173	31529	27363	61221	29583	37136
YNL297C	XIV	71673	76583	-	4911	1432	2153	1880	5198	2636	2551
YNL102W	XIV	430087	434493	+	4407	678	690	524	1705	472	896
YNR026C	XIV	673274	674689	-	1416	810	1067	572	2637	955	1374
YNL152W	XIV	346313	347542	+	1230	700	1046	512	2855	1350	1576
YNL140C	XIV	360917	361486	-	570	2	5	7	16	7	10
YNL099C	XIV	438567	439283	-	717	1322	1764	957	3636	1602	2034
YNL182C	XIV	295960	297627	-	1668	363	398	227	889	248	803
YNL180C	XIV	299654	300649	-	996	2528	2981	2202	9893	3837	7261
